manual_score_id,manual_file_path,manual_source_row,sample_id,case_id,source_item_id,model_name,dataset_version,prompt_style,identity_candidate_count,row_order_candidate_count,metadata_filtered_candidate_count,eligible_candidate_count,candidate_model_response_ids,ambiguity_reason
306,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
307,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
308,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
309,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
310,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
311,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
312,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
313,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
314,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
315,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
316,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
317,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_structured_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-5.5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
318,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
319,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
320,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
321,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
322,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
323,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
324,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
325,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
326,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
327,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
328,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
329,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_natural_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
330,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
331,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
332,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
333,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
334,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
335,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
336,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
337,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
338,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
339,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
340,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
341,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_mistral-medium-3-5_structured_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,mistral-medium-3-5,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
342,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
343,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
344,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
345,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
346,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
347,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
348,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
349,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
350,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
351,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
352,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
353,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_natural_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
354,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
355,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
356,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
357,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
358,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
359,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
360,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
361,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
362,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
363,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
364,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
365,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_qwen3.7-max_structured_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,qwen3.7-max,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
